,0,1,2,3,4,5,6,7,8
0,человек,видео,заботиться,благодарить,год,спасибо,слушать,женщина,бог
1,власть,психолог,лекция,ролик,бабушка,большой,книга,мужик,мир
2,самый,психология,лицо,прекрасный,любить,подкаста,прямой,мужчина,твой
3,гнилой,канал,любить,деньги,ребенок,огромный,читать,ребенок,самый
4,делать,лекция,любовь,увидеть,мама,видео,приятно,особенно,правда
5,жизнь,автор,любой,работа,жизнь,жизнь,психология,готовить,слово
6,любовь,глаз,мало,душа,детство,гость,интересно,делать,любовь
7,понимать,тема,мальчик,информация,понимать,полезный,брать,деньги,решать
8,любить,понимать,мама,видео,становиться,тема,минута,далеко,посмотреть
9,бояться,давно,идея,слово,суп,совет,начинать,манипуляция,взять
